trial,word_target,nonword_target,eng_rel_prime,eng_un_prime,span_rel_prime,span_un_prime
1,bracelet,hane,necklace,rabbit,anillo,mujer
2,pond,terb,fish,crayon,pato,bandera
3,magazine,ciop,newspaper,faucet,book,tiburón
4,apple,darg,grape,glasses,fresa,escalera
5,bee,husp,hive,clock,miel,pintura
6,beach,noop,sand,puzzle,mar,dinero
7,bed,boskot,pillow,donut,cobija,pepino
8,bathtub,chatten,toilet,mall,ducha,árbol
9,shoe,tever,foot,ghost,calcetín,mariposa
10,purse,dunch,bag,dungeon,mochila ,barco
11,bowl,goke,spoon,sister,plato,camisa
12,quiz,tust,exam,doll,tarea,piña
13,sun,sme,star,box,luna,basura
14,rain,glork,umbrella,house,nube,maquillaje
15,lunch,shede,breakfast,hammer,cena,sangre
16,summer,roak,winter,beef,primavera,corazón
17,ash,eget,smoke,shadow,fuego,juego
18,garden,sarg,flower,toaster,verduras,película
19,mouth,fimp,tongue ,basket,dientes,araña
20,hair,lort,brush,stone,piena ,avión 